Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
3.197,-83.118,-83.182,-83.221,-83.234,-83.289,-83.313,-83.231,-83.307,-83.307,-83.337,-83.328,-83.270,-83.334,-83.127,-83.228,-83.148,-83.130,-82.712
3.297,-83.133,-83.145,-83.304,-83.289,-83.322,-83.264,-83.344,-83.362,-83.426,-83.316,-83.301,-83.282,-83.310,-83.124,-83.273,-83.252,-83.008,-82.684
3.397,-83.069,-83.157,-83.258,-83.212,-83.292,-83.353,-83.301,-83.389,-83.200,-83.389,-83.347,-83.353,-83.221,-83.127,-83.249,-83.200,-83.023,-82.645
3.497,-83.115,-83.182,-83.209,-83.237,-83.255,-83.279,-83.258,-83.481,-83.258,-83.377,-83.218,-83.301,-83.389,-83.115,-83.295,-83.234,-83.041,-82.718
3.596,-83.167,-83.176,-83.295,-83.221,-83.310,-83.258,-83.386,-83.295,-83.273,-83.447,-83.337,-83.279,-83.279,-83.087,-83.243,-83.197,-82.993,-82.651
3.696,-83.121,-83.185,-83.243,-83.212,-83.200,-83.395,-83.273,-83.295,-83.380,-83.231,-83.319,-83.319,-83.328,-83.160,-83.310,-83.160,-83.023,-82.816
3.796,-83.139,-83.224,-83.212,-83.224,-83.353,-83.368,-83.292,-83.392,-83.313,-83.353,-83.353,-83.310,-83.261,-83.084,-83.286,-83.252,-82.974,-82.639
3.896,-83.206,-83.176,-83.215,-83.218,-83.344,-83.273,-83.264,-83.356,-83.316,-83.337,-83.234,-83.365,-83.292,-83.215,-83.228,-83.191,-83.096,-82.693
3.996,-83.087,-83.200,-83.218,-83.371,-83.249,-83.170,-83.395,-83.426,-83.276,-83.432,-83.307,-83.249,-83.292,-83.109,-83.307,-83.255,-83.008,-82.751
4.096,-83.121,-83.121,-83.270,-83.182,-83.270,-83.313,-83.380,-83.292,-83.319,-83.279,-83.273,-83.356,-83.270,-83.112,-83.243,-83.212,-82.990,-82.669
4.196,-83.102,-83.157,-83.331,-83.148,-83.255,-83.325,-83.322,-83.353,-83.289,-83.359,-83.365,-83.224,-83.337,-83.191,-83.313,-83.197,-83.124,-82.733
4.296,-83.054,-83.276,-83.148,-83.160,-83.356,-83.334,-83.218,-83.331,-83.344,-83.337,-83.319,-83.282,-83.249,-83.118,-83.292,-83.240,-83.035,-82.663
4.396,-83.243,-83.063,-83.228,-83.185,-83.298,-83.209,-83.292,-83.423,-83.282,-83.365,-83.282,-83.322,-83.356,-83.191,-83.221,-83.130,-83.072,-82.724
4.496,-83.090,-83.127,-83.151,-83.316,-83.310,-83.270,-83.264,-83.316,-83.334,-83.389,-83.356,-83.313,-83.286,-83.072,-83.316,-83.237,-83.002,-82.727
4.595,-83.066,-83.023,-83.304,-83.139,-83.182,-83.282,-83.356,-83.337,-83.255,-83.313,-83.243,-83.319,-83.316,-83.136,-83.188,-83.270,-82.980,-82.648
4.695,-83.014,-83.179,-83.185,-83.170,-83.273,-83.331,-83.258,-83.261,-83.386,-83.417,-83.395,-83.258,-83.279,-83.151,-83.276,-83.176,-83.136,-82.761
4.795,-83.109,-83.142,-83.206,-83.173,-83.289,-83.264,-83.258,-83.365,-83.252,-83.264,-83.276,-83.340,-83.261,-83.078,-83.221,-83.240,-82.959,-82.681
4.895,-83.133,-83.167,-83.167,-83.270,-83.301,-83.270,-83.246,-83.365,-83.371,-83.374,-83.295,-83.234,-83.359,-83.206,-83.215,-83.218,-83.063,-82.669
4.995,-83.163,-83.023,-83.218,-83.234,-83.228,-83.163,-83.359,-83.286,-83.243,-83.282,-83.313,-83.282,-83.279,-83.060,-83.307,-83.185,-83.078,-82.748
5.095,-82.977,-83.151,-83.185,-83.255,-83.234,-83.307,-83.249,-83.344,-83.371,-83.374,-83.270,-83.304,-83.371,-83.102,-83.206,-83.221,-83.026,-82.669
5.195,-83.151,-83.124,-83.264,-83.191,-83.282,-83.185,-83.340,-83.301,-83.304,-83.313,-83.350,-83.191,-83.276,-83.163,-83.255,-83.136,-83.057,-82.666
5.295,-83.112,-83.167,-83.151,-83.224,-83.240,-83.292,-83.270,-83.420,-83.301,-83.292,-83.252,-83.356,-83.228,-83.020,-83.270,-83.228,-83.099,-82.697
5.395,-83.194,-83.069,-83.273,-83.224,-83.286,-83.200,-83.340,-83.255,-83.322,-83.350,-83.325,-83.212,-83.395,-83.124,-83.212,-83.228,-83.005,-82.626
5.495,-83.026,-83.124,-83.206,-83.176,-83.215,-83.270,-83.289,-83.319,-83.258,-83.286,-83.307,-83.276,-83.279,-83.096,-83.267,-83.176,-83.136,-82.654
5.594,-83.148,-83.093,-83.267,-83.206,-83.328,-83.234,-83.234,-83.301,-83.322,-83.389,-83.316,-83.304,-83.316,-83.044,-83.215,-83.243,-83.115,-82.712
5.694,-83.017,-83.167,-83.243,-83.151,-83.191,-83.234,-83.340,-83.286,-83.237,-83.325,-83.362,-83.212,-83.344,-83.188,-83.209,-83.221,-83.020,-82.672
5.794,-83.136,-83.145,-83.176,-83.261,-83.313,-83.252,-83.273,-83.365,-83.322,-83.359,-83.224,-83.340,-83.282,-83.142,-83.310,-83.136,-83.115,-82.678
5.894,-83.109,-83.090,-83.273,-83.157,-83.249,-83.191,-83.374,-83.298,-83.319,-83.408,-83.353,-83.286,-83.340,-83.051,-83.255,-83.279,-83.139,-82.816
5.994,-83.127,-83.136,-83.163,-83.267,-83.298,-83.234,-83.279,-83.362,-83.273,-83.261,-83.353,-83.276,-83.380,-83.173,-83.151,-83.270,-82.959,-82.672
6.094,-83.087,-83.047,-83.240,-83.188,-83.258,-83.160,-83.362,-83.261,-83.328,-83.368,-83.228,-83.344,-83.279,-83.075,-83.319,-83.139,-83.047,-82.639
6.194,-83.084,-83.197,-83.157,-83.206,-83.255,-83.206,-83.316,-83.286,-83.176,-83.347,-83.362,-83.246,-83.405,-83.041,-83.261,-83.240,-83.112,-82.748
6.294,-83.109,-83.008,-83.276,-83.218,-83.340,-83.218,-83.243,-83.347,-83.310,-83.301,-83.322,-83.249,-83.368,-83.145,-83.188,-83.279,-82.965,-82.755
6.394,-83.057,-83.115,-83.194,-83.109,-83.191,-83.188,-83.392,-83.267,-83.261,-83.386,-83.282,-83.347,-83.310,-83.118,-83.340,-83.218,-82.956,-82.663
6.494,-83.173,-83.081,-83.209,-83.246,-83.292,-83.252,-83.292,-83.347,-83.237,-83.313,-83.380,-83.237,-83.377,-83.115,-83.264,-83.182,-83.130,-82.693
6.593,-83.084,-83.090,-83.234,-83.142,-83.252,-83.096,-83.292,-83.264,-83.371,-83.334,-83.252,-83.237,-83.386,-83.160,-83.167,-83.313,-83.102,-82.761
6.693,-83.145,-83.130,-83.109,-83.179,-83.267,-83.237,-83.380,-83.322,-83.310,-83.368,-83.334,-83.389,-83.267,-83.173,-83.270,-83.264,-82.986,-82.721
