Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
0.000,-79.752,-78.687,-78.873,-79.050,-78.741,-79.337,-79.260,-78.781,-78.796,-78.983,-78.839,-78.674,-78.662,-78.207,-77.979,-77.954,-77.563,-77.902
0.100,-79.401,-78.680,-78.949,-79.089,-78.723,-79.337,-79.218,-78.824,-78.821,-78.897,-78.851,-78.677,-78.751,-78.275,-77.957,-78.036,-77.560,-77.930
0.200,-79.489,-78.729,-78.818,-79.077,-78.787,-79.257,-79.248,-78.769,-78.824,-79.028,-78.882,-78.610,-78.601,-78.128,-77.856,-78.030,-77.643,-77.829
0.300,-79.465,-78.619,-78.925,-78.995,-78.659,-79.355,-79.306,-78.830,-78.809,-78.934,-78.784,-78.677,-78.677,-78.198,-77.881,-77.899,-77.664,-77.853
0.400,-79.416,-78.757,-78.912,-79.117,-78.748,-79.236,-79.193,-78.793,-78.821,-78.879,-78.815,-78.665,-78.745,-78.293,-77.966,-77.963,-77.536,-77.982
0.500,-79.498,-78.705,-78.873,-79.016,-78.796,-79.285,-79.291,-78.738,-78.732,-78.998,-78.864,-78.595,-78.613,-78.101,-77.966,-78.052,-77.658,-77.902
0.599,-79.407,-78.702,-78.970,-79.053,-78.662,-79.315,-79.279,-78.806,-78.766,-78.964,-78.748,-78.601,-78.647,-78.091,-77.896,-77.930,-77.710,-77.829
0.699,-79.425,-78.775,-78.851,-79.099,-78.806,-79.208,-79.166,-78.708,-78.851,-78.937,-78.848,-78.693,-78.702,-78.268,-77.930,-77.954,-77.582,-77.933
0.799,-79.501,-78.616,-78.928,-78.992,-78.748,-79.294,-79.315,-78.754,-78.741,-79.016,-78.833,-78.546,-78.644,-78.220,-77.948,-78.033,-77.563,-77.951
0.899,-79.391,-78.732,-78.995,-79.071,-78.656,-79.288,-79.291,-78.830,-78.802,-78.925,-78.799,-78.552,-78.644,-78.143,-77.930,-78.021,-77.661,-77.872
0.999,-79.486,-78.723,-78.836,-79.044,-78.812,-79.266,-79.199,-78.677,-78.897,-78.931,-78.906,-78.665,-78.732,-78.220,-77.850,-77.936,-77.682,-77.823
1.099,-79.480,-78.577,-78.915,-78.979,-78.729,-79.398,-79.324,-78.769,-78.735,-79.013,-78.931,-78.613,-78.772,-78.287,-77.893,-77.896,-77.621,-77.847
1.199,-79.407,-78.690,-78.900,-79.105,-78.745,-79.297,-79.291,-78.854,-78.781,-78.986,-78.778,-78.555,-78.647,-78.152,-77.975,-78.024,-77.603,-77.951
1.299,-79.498,-78.683,-78.873,-79.086,-78.809,-79.306,-79.263,-78.723,-78.830,-78.906,-78.827,-78.629,-78.647,-78.094,-77.933,-78.036,-77.661,-77.975
1.399,-79.456,-78.662,-79.019,-79.013,-78.693,-79.355,-79.388,-78.778,-78.799,-79.050,-78.882,-78.702,-78.778,-78.156,-77.863,-77.905,-77.679,-77.866
1.499,-79.370,-78.720,-78.931,-79.172,-78.671,-79.245,-79.309,-78.870,-78.839,-78.983,-78.787,-78.622,-78.772,-78.238,-77.914,-77.917,-77.640,-77.798
1.598,-79.468,-78.690,-78.888,-79.080,-78.796,-79.245,-79.282,-78.754,-78.906,-78.900,-78.848,-78.531,-78.653,-78.168,-77.985,-78.040,-77.563,-77.863
1.698,-79.391,-78.653,-79.037,-79.004,-78.696,-79.407,-79.407,-78.760,-78.830,-78.998,-78.925,-78.629,-78.720,-78.122,-77.951,-78.033,-77.637,-77.963
1.798,-79.364,-78.738,-78.925,-79.184,-78.708,-79.272,-79.303,-78.876,-78.839,-79.013,-78.857,-78.732,-78.769,-78.146,-77.881,-78.009,-77.689,-77.917
1.898,-79.492,-78.696,-78.885,-79.047,-78.790,-79.230,-79.208,-78.787,-78.897,-78.912,-78.821,-78.589,-78.741,-78.235,-77.921,-77.960,-77.670,-77.780
1.998,-79.401,-78.668,-79.050,-79.053,-78.693,-79.340,-79.300,-78.723,-78.873,-78.973,-78.934,-78.534,-78.659,-78.189,-78.003,-78.006,-77.609,-77.814
2.098,-79.367,-78.769,-78.931,-79.126,-78.677,-79.248,-79.294,-78.787,-78.790,-79.056,-78.900,-78.604,-78.769,-78.183,-77.979,-78.040,-77.606,-77.847
2.198,-79.565,-78.668,-78.857,-79.105,-78.741,-79.172,-79.196,-78.802,-78.836,-79.010,-78.796,-78.687,-78.738,-78.140,-77.933,-78.082,-77.563,-77.963
2.298,-79.471,-78.629,-79.013,-78.995,-78.720,-79.300,-79.279,-78.705,-78.882,-78.940,-78.821,-78.610,-78.757,-78.183,-77.869,-78.000,-77.679,-77.975
2.398,-79.428,-78.745,-78.998,-79.037,-78.641,-79.297,-79.343,-78.827,-78.848,-78.992,-78.934,-78.522,-78.708,-78.250,-77.896,-77.939,-77.707,-77.817
2.498,-79.495,-78.720,-78.909,-79.126,-78.717,-79.218,-79.254,-78.903,-78.757,-79.041,-78.873,-78.549,-78.671,-78.287,-77.933,-77.975,-77.582,-77.859
2.597,-79.553,-78.629,-78.976,-79.071,-78.821,-79.211,-79.199,-78.754,-78.888,-79.004,-78.806,-78.638,-78.592,-78.281,-77.933,-78.030,-77.588,-77.975
2.697,-79.440,-78.723,-79.044,-79.028,-78.683,-79.269,-79.288,-78.729,-78.940,-78.992,-78.824,-78.625,-78.705,-78.125,-77.881,-77.975,-77.731,-77.795
2.797,-79.465,-78.766,-78.970,-79.141,-78.653,-79.266,-79.352,-78.769,-78.860,-78.952,-78.903,-78.592,-78.745,-78.140,-77.930,-77.933,-77.603,-77.908
2.897,-79.523,-78.717,-78.955,-79.114,-78.766,-79.196,-79.236,-78.879,-78.815,-79.059,-78.818,-78.503,-78.662,-78.302,-77.997,-78.079,-77.667,-77.780
2.997,-79.480,-78.717,-79.059,-78.998,-78.809,-79.211,-79.221,-78.751,-78.766,-79.044,-78.815,-78.528,-78.616,-78.259,-77.872,-77.948,-77.621,-77.914
3.097,-79.364,-78.751,-79.031,-79.089,-78.680,-79.297,-79.358,-78.677,-78.857,-79.031,-78.796,-78.632,-78.659,-78.156,-77.982,-77.957,-77.728,-77.783
3.197,-79.449,-78.809,-78.888,-79.123,-78.680,-79.211,-79.382,-78.738,-78.894,-78.967,-78.760,-78.671,-78.751,-78.265,-77.899,-77.963,-77.600,-77.908
3.297,-79.590,-78.641,-78.922,-79.129,-78.809,-79.196,-79.239,-78.836,-78.809,-78.973,-78.915,-78.625,-78.668,-78.220,-77.994,-78.030,-77.646,-77.841
3.397,-79.382,-78.683,-79.019,-79.004,-78.891,-79.160,-79.184,-78.845,-78.656,-79.138,-78.821,-78.537,-78.680,-78.162,-77.896,-77.902,-77.658,-77.771
3.497,-79.401,-78.769,-79.037,-79.044,-78.696,-79.300,-79.318,-78.680,-78.842,-79.001,-78.796,-78.668,-78.711,-78.195,-77.988,-78.027,-77.621,-77.911
3.596,-79.434,-78.766,-78.906,-79.047,-78.674,-79.300,-79.279,-78.748,-78.830,-78.958,-78.900,-78.577,-78.680,-78.232,-77.917,-77.954,-77.695,-77.811
3.696,-79.523,-78.668,-78.839,-79.135,-78.806,-79.144,-79.251,-78.857,-78.720,-79.013,-78.763,-78.632,-78.690,-78.204,-77.896,-77.954,-77.658,-77.780
3.796,-79.337,-78.638,-79.056,-79.126,-78.824,-79.181,-79.315,-78.741,-78.845,-78.903,-78.909,-78.589,-78.680,-78.314,-77.954,-78.003,-77.655,-77.841
3.896,-79.385,-78.812,-79.065,-78.964,-78.766,-79.361,-79.315,-78.784,-78.787,-78.989,-78.830,-78.653,-78.705,-78.247,-77.890,-77.960,-77.750,-77.786
3.996,-79.449,-78.754,-78.928,-79.123,-78.735,-79.288,-79.263,-78.836,-78.873,-78.931,-78.946,-78.564,-78.754,-78.210,-77.917,-77.963,-77.649,-77.832
