Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
0.000,-86.420,-86.093,-86.096,-86.182,-86.166,-86.258,-86.053,-86.133,-86.255,-86.185,-86.078,-86.191,-86.121,-85.748,-85.184,-85.257,-85.004,-84.866
0.100,-86.157,-86.075,-86.133,-86.142,-86.099,-86.304,-86.096,-86.215,-86.182,-86.261,-86.032,-86.121,-86.124,-85.730,-85.202,-85.306,-85.083,-85.184
0.200,-86.163,-86.099,-86.017,-86.154,-86.169,-86.194,-86.087,-86.130,-86.298,-86.197,-86.053,-86.130,-86.139,-85.675,-85.242,-85.236,-85.071,-85.028
0.300,-86.160,-86.090,-86.035,-86.142,-86.172,-86.215,-86.032,-86.172,-86.191,-86.261,-86.075,-86.191,-86.203,-85.699,-85.208,-85.257,-84.921,-85.001
0.400,-86.169,-86.038,-86.145,-86.197,-86.166,-86.264,-86.142,-86.151,-86.273,-86.197,-86.023,-86.194,-86.172,-85.727,-85.251,-85.251,-85.123,-84.875
0.500,-86.203,-86.044,-86.035,-86.179,-86.209,-86.221,-86.072,-86.203,-86.209,-86.237,-86.020,-86.102,-86.111,-85.715,-85.284,-85.287,-85.065,-85.025
0.599,-86.191,-86.078,-86.014,-86.124,-86.154,-86.273,-86.142,-86.151,-86.270,-86.224,-86.078,-86.127,-86.127,-85.715,-85.214,-85.178,-84.943,-84.973
0.699,-86.130,-86.087,-86.087,-86.212,-86.185,-86.215,-86.078,-86.154,-86.301,-86.212,-86.063,-86.185,-86.191,-85.773,-85.287,-85.251,-84.906,-84.979
0.799,-86.240,-86.017,-86.063,-86.111,-86.145,-86.246,-86.060,-86.185,-86.230,-86.185,-86.047,-86.130,-86.182,-85.764,-85.318,-85.172,-84.982,-84.991
0.899,-86.176,-86.115,-86.102,-86.221,-86.224,-86.282,-86.105,-86.154,-86.234,-86.227,-86.044,-86.084,-86.142,-85.727,-85.196,-85.156,-84.964,-84.964
0.999,-86.224,-86.096,-86.075,-86.160,-86.176,-86.188,-86.038,-86.127,-86.316,-86.252,-86.093,-86.057,-86.179,-85.764,-85.141,-85.120,-84.970,-85.007
1.099,-86.179,-86.108,-86.099,-86.151,-86.218,-86.243,-86.057,-86.166,-86.322,-86.200,-86.102,-86.157,-86.169,-85.809,-85.367,-85.172,-84.976,-84.973
1.199,-86.200,-86.050,-86.066,-86.188,-86.224,-86.288,-86.044,-86.139,-86.249,-86.172,-86.053,-86.142,-86.115,-85.797,-85.321,-85.153,-84.995,-84.998
1.299,-86.176,-86.172,-86.096,-86.151,-86.185,-86.224,-86.078,-86.163,-86.273,-86.249,-86.069,-86.148,-86.148,-85.687,-85.101,-85.242,-84.995,-84.976
1.399,-86.261,-86.111,-86.111,-86.160,-86.142,-86.197,-86.118,-86.115,-86.295,-86.203,-86.130,-86.237,-86.224,-85.907,-85.202,-85.162,-84.970,-85.019
1.499,-86.212,-86.078,-86.078,-86.182,-86.218,-86.249,-86.111,-86.139,-86.203,-86.172,-86.090,-86.188,-86.124,-85.895,-85.144,-85.223,-84.921,-84.967
1.598,-86.227,-86.151,-86.087,-86.176,-86.221,-86.273,-86.130,-86.148,-86.148,-86.221,-86.121,-86.108,-86.087,-85.718,-85.202,-85.159,-84.940,-85.007
1.698,-86.243,-86.151,-86.133,-86.191,-86.185,-86.258,-86.105,-86.136,-86.240,-86.252,-86.142,-86.218,-86.188,-85.727,-85.147,-85.251,-84.946,-84.988
1.798,-86.230,-86.050,-86.115,-86.142,-86.163,-86.169,-86.087,-86.099,-86.273,-86.182,-86.078,-86.047,-86.160,-85.733,-85.196,-85.162,-84.924,-84.982
1.898,-86.179,-86.038,-86.044,-86.176,-86.169,-86.166,-86.063,-86.172,-86.209,-86.194,-86.157,-86.176,-86.136,-85.754,-85.184,-85.220,-84.937,-85.013
1.998,-86.163,-86.105,-86.105,-86.240,-86.191,-86.261,-86.118,-86.160,-86.249,-86.267,-85.989,-86.145,-86.172,-85.751,-85.208,-85.168,-84.900,-84.970
2.098,-86.200,-86.133,-86.121,-86.203,-86.179,-86.234,-86.099,-86.111,-86.276,-86.246,-86.075,-86.078,-86.188,-85.736,-85.147,-85.211,-84.995,-84.982
2.198,-86.194,-86.115,-86.099,-86.154,-86.151,-86.249,-86.047,-86.157,-86.292,-86.111,-86.176,-86.172,-86.148,-85.764,-85.254,-85.156,-84.912,-84.915
2.298,-86.188,-86.041,-86.087,-86.203,-86.249,-86.267,-86.087,-86.200,-86.166,-86.319,-86.084,-86.072,-86.234,-85.742,-85.178,-85.135,-85.022,-84.961
2.398,-86.145,-86.072,-86.145,-86.218,-86.188,-86.191,-86.093,-86.096,-86.185,-86.264,-86.017,-86.172,-86.136,-85.764,-85.208,-85.107,-84.937,-84.937
2.498,-86.200,-86.145,-86.166,-86.148,-86.163,-86.221,-86.124,-86.108,-86.273,-86.172,-86.050,-86.087,-86.194,-85.748,-85.168,-85.141,-84.973,-85.031
2.597,-86.209,-86.090,-86.121,-86.160,-86.282,-86.261,-85.989,-86.200,-86.197,-86.172,-86.093,-86.145,-86.115,-85.791,-85.245,-85.165,-84.894,-84.952
2.697,-86.148,-86.078,-86.133,-86.249,-86.179,-86.099,-86.090,-86.130,-86.209,-86.203,-86.078,-86.111,-86.188,-85.742,-85.150,-85.092,-84.949,-85.010
2.797,-86.197,-86.075,-86.139,-86.218,-86.099,-86.383,-86.105,-86.179,-86.209,-86.203,-86.096,-86.102,-86.124,-85.803,-85.214,-85.162,-84.918,-84.940
2.897,-86.191,-86.075,-86.194,-86.105,-86.334,-86.261,-86.029,-86.151,-86.273,-86.215,-86.121,-86.102,-86.172,-85.806,-85.214,-85.056,-84.909,-84.967
2.997,-86.169,-86.188,-86.096,-86.200,-86.209,-86.215,-86.081,-86.185,-86.194,-86.166,-86.148,-86.111,-86.124,-85.773,-85.205,-85.193,-84.958,-85.004
3.097,-86.307,-86.032,-86.111,-86.154,-86.179,-86.264,-86.069,-86.121,-86.249,-86.237,-86.121,-86.111,-86.206,-85.779,-85.233,-85.089,-84.875,-84.912
3.197,-86.102,-85.999,-86.258,-86.218,-86.188,-86.209,-86.124,-86.212,-86.160,-86.185,-86.072,-86.108,-86.154,-85.739,-85.223,-85.193,-85.001,-84.967
3.297,-86.136,-86.157,-86.105,-86.166,-86.270,-86.298,-86.063,-86.148,-86.258,-86.255,-86.105,-86.139,-86.191,-85.785,-85.284,-85.150,-84.970,-84.845
3.397,-86.307,-86.050,-86.072,-86.230,-86.200,-86.185,-86.090,-86.237,-86.264,-86.136,-86.099,-86.191,-86.078,-85.687,-85.187,-85.098,-84.940,-84.909
3.497,-86.139,-86.066,-86.118,-86.136,-86.191,-86.334,-86.182,-86.166,-86.310,-86.212,-86.090,-86.151,-86.188,-85.770,-85.294,-85.193,-85.013,-84.937
3.596,-86.243,-86.108,-86.096,-86.191,-86.124,-86.224,-86.108,-86.258,-86.191,-86.163,-86.096,-86.127,-86.108,-85.712,-85.251,-85.126,-84.882,-84.921
3.696,-86.209,-86.121,-86.108,-86.191,-86.285,-86.316,-86.136,-86.145,-86.221,-86.240,-86.081,-86.136,-86.191,-85.791,-85.251,-85.181,-84.964,-85.001
3.796,-86.252,-86.099,-86.118,-86.191,-86.218,-86.237,-86.075,-86.209,-86.169,-86.176,-86.157,-86.182,-86.090,-85.678,-85.266,-85.138,-84.967,-84.918
3.896,-86.172,-86.060,-86.154,-86.139,-86.273,-86.273,-86.096,-86.160,-86.298,-86.243,-86.020,-86.130,-86.234,-85.791,-85.202,-85.205,-84.900,-84.970
3.996,-86.221,-86.099,-86.127,-86.179,-86.163,-86.182,-86.057,-86.206,-86.172,-86.200,-86.072,-86.191,-86.127,-85.690,-85.263,-85.181,-85.025,-84.964
4.096,-86.176,-86.090,-86.130,-86.108,-86.261,-86.252,-86.090,-86.166,-86.249,-86.230,-86.002,-86.096,-86.160,-85.699,-85.233,-85.110,-84.946,-84.885
4.196,-86.191,-86.139,-86.069,-86.206,-86.166,-86.151,-86.127,-86.237,-86.197,-86.194,-86.142,-86.203,-86.172,-85.757,-85.263,-85.162,-84.973,-85.001
4.296,-86.179,-86.087,-86.090,-86.105,-86.209,-86.261,-86.072,-86.148,-86.203,-86.221,-86.066,-86.121,-86.115,-85.721,-85.248,-85.086,-85.022,-84.958
4.396,-86.237,-86.154,-86.090,-86.182,-86.206,-86.215,-86.127,-86.227,-86.227,-86.230,-86.172,-86.221,-86.148,-85.770,-85.147,-85.175,-84.900,-84.888
4.496,-86.191,-86.057,-86.145,-86.121,-86.288,-86.270,-86.099,-86.148,-86.185,-86.182,-86.105,-86.115,-86.145,-85.721,-85.336,-85.190,-84.961,-84.976
4.595,-86.212,-86.148,-86.130,-86.200,-86.203,-86.221,-86.157,-86.224,-86.282,-86.276,-86.105,-86.151,-86.209,-85.794,-85.239,-85.095,-85.001,-84.888
4.695,-86.182,-86.047,-86.115,-86.127,-86.264,-86.307,-86.038,-86.163,-86.209,-86.145,-86.160,-86.139,-86.172,-85.736,-85.254,-85.159,-84.879,-84.879
4.795,-86.255,-86.142,-86.087,-86.176,-86.169,-86.221,-86.115,-86.206,-86.264,-86.264,-86.084,-86.185,-86.240,-85.712,-85.324,-85.126,-84.967,-84.958
4.895,-86.188,-86.057,-86.075,-86.121,-86.243,-86.273,-86.053,-86.191,-86.224,-86.142,-86.172,-86.203,-86.185,-85.782,-85.275,-85.095,-84.927,-84.872
4.995,-86.227,-86.102,-86.139,-86.218,-86.209,-86.234,-86.111,-86.218,-86.285,-86.185,-86.081,-86.130,-86.130,-85.718,-85.312,-85.162,-84.882,-84.897
5.095,-86.172,-86.063,-86.093,-86.160,-86.185,-86.261,-86.069,-86.224,-86.249,-86.212,-86.133,-86.176,-86.218,-85.788,-85.330,-85.062,-84.918,-84.979
5.195,-86.252,-86.096,-86.185,-86.185,-86.234,-86.197,-86.072,-86.121,-86.212,-86.200,-86.108,-86.081,-86.148,-85.779,-85.263,-85.052,-84.927,-84.933
5.295,-86.151,-86.133,-86.075,-86.142,-86.169,-86.197,-86.069,-86.209,-86.282,-86.243,-86.072,-86.157,-86.246,-85.742,-85.315,-85.181,-84.879,-84.927
5.395,-86.227,-86.081,-86.169,-86.142,-86.267,-86.197,-86.020,-86.142,-86.221,-86.188,-86.163,-86.151,-86.163,-85.800,-85.312,-85.095,-84.891,-84.937
5.495,-86.172,-86.072,-86.090,-86.185,-86.130,-86.169,-86.169,-86.246,-86.282,-86.243,-86.063,-86.105,-86.130,-85.773,-85.233,-85.107,-84.943,-84.933
5.594,-86.203,-86.066,-86.148,-86.142,-86.151,-86.304,-86.047,-86.118,-86.273,-86.197,-86.105,-86.179,-86.185,-85.767,-85.318,-85.175,-84.882,-84.930
