Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
3.197,-83.640,-83.664,-83.661,-83.475,-83.347,-83.652,-83.670,-83.609,-82.968,-83.472,-83.456,-83.740,-83.868,-83.578,-83.167,-83.191,-83.154,-83.160
3.297,-83.737,-83.728,-83.618,-83.575,-83.313,-83.606,-83.722,-83.771,-82.916,-83.536,-83.316,-83.881,-83.743,-83.636,-83.310,-83.112,-83.023,-83.038
3.397,-83.789,-83.688,-83.585,-83.569,-83.295,-83.487,-83.670,-83.676,-82.828,-83.420,-83.353,-83.929,-83.652,-83.612,-83.218,-83.136,-83.044,-83.163
3.497,-83.710,-83.783,-83.771,-83.484,-83.383,-83.618,-83.652,-83.600,-82.968,-83.356,-83.447,-83.719,-83.771,-83.591,-83.099,-83.191,-83.096,-83.008
3.596,-83.749,-83.688,-83.591,-83.572,-83.273,-83.621,-83.765,-83.728,-83.041,-83.463,-83.408,-83.780,-83.835,-83.667,-83.206,-83.234,-83.032,-83.188
3.696,-83.701,-83.685,-83.652,-83.521,-83.322,-83.511,-83.615,-83.658,-82.809,-83.493,-83.286,-83.911,-83.719,-83.609,-83.170,-83.170,-83.124,-83.044
3.796,-83.829,-83.789,-83.731,-83.493,-83.389,-83.621,-83.578,-83.560,-82.877,-83.344,-83.389,-83.841,-83.636,-83.521,-83.154,-83.218,-83.044,-83.029
3.896,-83.640,-83.716,-83.594,-83.566,-83.231,-83.612,-83.719,-83.627,-82.932,-83.392,-83.594,-83.667,-83.826,-83.655,-83.218,-83.084,-83.069,-83.075
3.996,-83.740,-83.777,-83.685,-83.490,-83.337,-83.560,-83.627,-83.707,-82.837,-83.530,-83.411,-83.752,-83.707,-83.621,-83.176,-83.173,-83.133,-82.974
4.096,-83.795,-83.762,-83.676,-83.514,-83.353,-83.548,-83.545,-83.606,-82.739,-83.545,-83.304,-83.871,-83.765,-83.664,-83.221,-83.179,-83.020,-83.020
4.196,-83.667,-83.731,-83.661,-83.475,-83.185,-83.597,-83.710,-83.463,-82.867,-83.377,-83.408,-83.722,-83.704,-83.511,-83.224,-83.032,-83.105,-83.069
4.296,-83.759,-83.823,-83.762,-83.536,-83.258,-83.563,-83.661,-83.707,-82.959,-83.459,-83.359,-83.923,-83.768,-83.575,-83.167,-83.142,-83.063,-83.047
4.396,-83.694,-83.698,-83.606,-83.569,-83.322,-83.469,-83.539,-83.658,-82.864,-83.496,-83.405,-83.755,-83.667,-83.545,-83.237,-83.084,-83.051,-83.066
4.496,-83.679,-83.664,-83.621,-83.627,-83.322,-83.511,-83.575,-83.630,-82.730,-83.371,-83.432,-83.878,-83.768,-83.603,-83.185,-83.069,-83.072,-83.093
4.595,-83.762,-83.789,-83.594,-83.508,-83.313,-83.481,-83.621,-83.655,-82.825,-83.505,-83.432,-83.771,-83.722,-83.621,-83.127,-83.096,-83.072,-82.996
4.695,-83.731,-83.746,-83.569,-83.475,-83.298,-83.420,-83.630,-83.737,-82.812,-83.383,-83.334,-83.878,-83.713,-83.514,-83.194,-83.118,-82.968,-83.060
4.795,-83.667,-83.688,-83.527,-83.597,-83.148,-83.524,-83.557,-83.636,-82.758,-83.438,-83.481,-83.868,-83.780,-83.591,-83.102,-83.020,-82.919,-83.121
4.895,-83.728,-83.780,-83.636,-83.551,-83.191,-83.575,-83.694,-83.606,-82.877,-83.310,-83.420,-83.716,-83.713,-83.670,-83.145,-83.032,-83.051,-83.093
4.995,-83.740,-83.722,-83.640,-83.493,-83.313,-83.514,-83.658,-83.676,-82.791,-83.420,-83.377,-83.749,-83.719,-83.487,-83.182,-83.041,-83.002,-83.105
5.095,-83.704,-83.752,-83.698,-83.627,-83.298,-83.475,-83.630,-83.655,-82.834,-83.401,-83.423,-83.804,-83.795,-83.505,-83.237,-82.965,-83.005,-83.127
5.195,-83.789,-83.838,-83.743,-83.606,-83.151,-83.588,-83.585,-83.673,-82.800,-83.377,-83.426,-83.737,-83.701,-83.588,-83.182,-83.020,-83.029,-83.084
5.295,-83.707,-83.752,-83.795,-83.493,-83.203,-83.566,-83.691,-83.661,-82.812,-83.530,-83.383,-83.777,-83.646,-83.572,-83.188,-83.044,-82.947,-83.185
5.395,-83.722,-83.698,-83.661,-83.588,-83.334,-83.499,-83.539,-83.701,-82.925,-83.539,-83.347,-83.832,-83.743,-83.536,-83.258,-82.990,-83.017,-83.127
5.495,-83.740,-83.795,-83.713,-83.688,-83.362,-83.469,-83.630,-83.536,-82.895,-83.405,-83.368,-83.655,-83.765,-83.673,-83.160,-83.099,-82.993,-83.142
5.594,-83.636,-83.795,-83.841,-83.521,-83.292,-83.624,-83.569,-83.542,-82.861,-83.411,-83.359,-83.621,-83.658,-83.652,-83.188,-82.913,-82.953,-83.096
5.694,-83.655,-83.627,-83.731,-83.493,-83.200,-83.533,-83.652,-83.560,-82.889,-83.432,-83.374,-83.734,-83.701,-83.667,-83.176,-82.877,-83.035,-83.115
5.794,-83.759,-83.643,-83.618,-83.545,-83.362,-83.566,-83.627,-83.524,-82.852,-83.374,-83.380,-83.676,-83.688,-83.710,-83.075,-83.167,-82.932,-83.115
5.894,-83.777,-83.725,-83.743,-83.594,-83.212,-83.487,-83.630,-83.652,-82.770,-83.313,-83.295,-83.694,-83.578,-83.569,-83.246,-83.066,-82.956,-83.090
5.994,-83.679,-83.707,-83.893,-83.481,-83.405,-83.600,-83.624,-83.609,-82.770,-83.350,-83.371,-83.768,-83.685,-83.588,-83.145,-83.170,-82.925,-83.209
6.094,-83.661,-83.612,-83.899,-83.453,-83.301,-83.563,-83.569,-83.551,-82.864,-83.325,-83.353,-83.698,-83.612,-83.524,-83.240,-83.032,-83.038,-83.118
6.194,-83.759,-83.694,-83.698,-83.597,-83.344,-83.566,-83.664,-83.554,-82.803,-83.389,-83.325,-83.743,-83.731,-83.557,-83.118,-83.075,-83.017,-83.160
6.294,-83.731,-83.853,-83.716,-83.447,-83.307,-83.615,-83.643,-83.676,-82.849,-83.517,-83.374,-83.713,-83.725,-83.630,-83.182,-83.054,-83.035,-83.081
6.394,-83.688,-83.646,-83.752,-83.536,-83.420,-83.560,-83.621,-83.627,-82.910,-83.334,-83.249,-83.743,-83.615,-83.481,-83.154,-83.099,-82.953,-83.130
6.494,-83.722,-83.627,-83.643,-83.475,-83.289,-83.533,-83.560,-83.734,-82.816,-83.347,-83.463,-83.807,-83.655,-83.621,-83.170,-83.075,-82.959,-83.170
6.593,-83.844,-83.740,-83.731,-83.539,-83.249,-83.636,-83.679,-83.765,-82.855,-83.371,-83.380,-83.624,-83.633,-83.548,-83.096,-83.072,-82.993,-83.197
6.693,-83.780,-83.710,-83.588,-83.484,-83.286,-83.533,-83.618,-83.707,-82.938,-83.322,-83.444,-83.771,-83.801,-83.646,-83.002,-83.011,-83.044,-83.105
6.793,-83.575,-83.679,-83.661,-83.524,-83.282,-83.517,-83.569,-83.621,-82.803,-83.380,-83.264,-83.740,-83.673,-83.508,-83.084,-83.127,-82.959,-83.102
6.893,-83.688,-83.667,-83.606,-83.566,-83.273,-83.600,-83.664,-83.691,-82.877,-83.359,-83.417,-83.887,-83.716,-83.588,-83.102,-83.051,-83.051,-83.160
6.993,-83.670,-83.682,-83.643,-83.447,-83.337,-83.597,-83.649,-83.530,-82.870,-83.371,-83.234,-83.813,-83.530,-83.456,-83.102,-83.188,-82.925,-83.060
7.093,-83.728,-83.655,-83.682,-83.499,-83.270,-83.524,-83.582,-83.640,-82.858,-83.237,-83.453,-83.899,-83.630,-83.572,-83.194,-83.026,-83.005,-83.212
7.193,-83.740,-83.755,-83.615,-83.539,-83.224,-83.609,-83.661,-83.612,-82.809,-83.401,-83.304,-83.755,-83.496,-83.511,-83.087,-83.127,-82.812,-83.020
7.293,-83.633,-83.646,-83.768,-83.502,-83.353,-83.652,-83.585,-83.618,-82.742,-83.325,-83.417,-83.881,-83.771,-83.633,-83.185,-82.983,-82.944,-83.130
7.393,-83.661,-83.661,-83.792,-83.484,-83.316,-83.578,-83.484,-83.636,-82.898,-83.386,-83.252,-83.789,-83.636,-83.554,-83.078,-83.157,-82.886,-83.063
7.493,-83.652,-83.728,-83.694,-83.533,-83.252,-83.585,-83.621,-83.563,-82.855,-83.282,-83.398,-83.847,-83.719,-83.508,-83.237,-83.075,-82.977,-83.060
7.592,-83.640,-83.640,-83.685,-83.499,-83.350,-83.597,-83.548,-83.646,-82.892,-83.417,-83.401,-83.783,-83.649,-83.548,-83.026,-83.105,-82.999,-83.093
7.692,-83.746,-83.682,-83.719,-83.423,-83.356,-83.557,-83.682,-83.578,-82.761,-83.295,-83.368,-83.771,-83.646,-83.432,-83.170,-83.084,-82.898,-83.060
7.792,-83.646,-83.698,-83.624,-83.487,-83.215,-83.594,-83.475,-83.630,-82.895,-83.417,-83.453,-83.765,-83.698,-83.527,-83.167,-83.014,-82.983,-83.197
7.892,-83.630,-83.682,-83.551,-83.435,-83.313,-83.466,-83.618,-83.469,-82.751,-83.240,-83.252,-83.691,-83.655,-83.456,-83.160,-83.066,-82.886,-83.063
7.992,-83.743,-83.688,-83.664,-83.356,-83.206,-83.652,-83.484,-83.539,-82.880,-83.340,-83.350,-83.810,-83.701,-83.606,-83.136,-82.907,-83.026,-83.090
8.092,-83.664,-83.801,-83.636,-83.545,-83.347,-83.392,-83.582,-83.459,-82.837,-83.322,-83.307,-83.624,-83.655,-83.478,-82.953,-83.063,-82.974,-83.145
8.192,-83.594,-83.731,-83.566,-83.444,-83.328,-83.496,-83.514,-83.542,-82.877,-83.389,-83.353,-83.743,-83.749,-83.524,-83.188,-82.980,-83.011,-83.035
8.292,-83.609,-83.633,-83.698,-83.423,-83.258,-83.493,-83.511,-83.493,-82.779,-83.316,-83.420,-83.713,-83.658,-83.521,-83.041,-82.990,-83.060,-83.160
8.392,-83.646,-83.789,-83.640,-83.527,-83.188,-83.627,-83.487,-83.612,-82.791,-83.304,-83.331,-83.737,-83.704,-83.475,-83.212,-83.023,-82.947,-83.118
8.492,-83.566,-83.749,-83.569,-83.459,-83.136,-83.481,-83.572,-83.664,-82.770,-83.313,-83.429,-83.679,-83.722,-83.524,-83.124,-82.971,-83.047,-83.044
8.591,-83.627,-83.630,-83.618,-83.530,-83.337,-83.487,-83.560,-83.749,-82.748,-83.279,-83.340,-83.725,-83.658,-83.490,-83.115,-83.044,-82.977,-83.206
