Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
0.000,-86.136,-85.886,-85.745,-85.812,-85.849,-85.898,-85.800,-85.818,-85.864,-85.852,-86.047,-86.038,-86.057,-85.941,-85.849,-85.916,-85.638,-85.471
0.100,-85.800,-85.779,-85.788,-85.800,-85.852,-85.843,-85.922,-85.892,-85.947,-85.840,-85.947,-86.047,-85.992,-85.977,-85.904,-85.904,-85.663,-85.501
0.200,-85.834,-85.892,-85.779,-85.718,-85.828,-85.855,-85.886,-85.876,-85.922,-85.962,-86.057,-85.995,-85.959,-85.986,-85.934,-85.837,-85.699,-85.550
0.300,-85.773,-85.773,-85.709,-85.855,-85.870,-85.916,-85.846,-85.831,-85.812,-85.834,-85.971,-86.078,-86.023,-86.023,-85.938,-85.864,-85.678,-85.519
0.400,-85.886,-85.849,-85.855,-85.706,-85.822,-85.794,-85.953,-85.968,-85.983,-85.834,-86.072,-85.977,-86.020,-85.995,-85.876,-85.928,-85.599,-85.507
0.500,-85.818,-85.855,-85.721,-85.837,-85.779,-85.870,-85.855,-85.846,-85.916,-85.916,-85.922,-85.995,-85.953,-85.950,-85.867,-85.941,-85.660,-85.599
0.599,-85.867,-85.837,-85.788,-85.818,-85.944,-85.895,-85.846,-85.849,-85.867,-85.870,-86.032,-86.023,-85.941,-85.919,-85.883,-85.843,-85.709,-85.477
0.699,-85.776,-85.922,-85.773,-85.721,-85.828,-85.760,-85.870,-85.986,-85.947,-85.880,-86.026,-86.047,-86.005,-85.956,-85.919,-85.870,-85.599,-85.532
0.799,-85.806,-85.797,-85.715,-85.812,-85.861,-85.861,-85.812,-85.843,-85.867,-85.886,-85.944,-85.953,-86.017,-85.999,-85.907,-85.931,-85.699,-85.620
0.899,-85.776,-85.883,-85.800,-85.791,-85.907,-85.867,-85.864,-85.883,-85.962,-85.855,-86.014,-85.999,-86.026,-85.950,-85.873,-85.931,-85.651,-85.461
0.999,-85.779,-85.825,-85.712,-85.730,-85.870,-85.767,-85.907,-85.889,-85.880,-85.941,-86.044,-85.992,-85.910,-85.892,-85.922,-85.898,-85.657,-85.526
1.099,-85.907,-85.834,-85.825,-85.828,-85.907,-85.886,-85.791,-85.870,-85.938,-85.858,-85.989,-86.035,-85.934,-85.904,-85.928,-86.014,-85.660,-85.519
1.199,-85.751,-85.892,-85.797,-85.748,-85.892,-85.825,-85.898,-85.910,-85.880,-85.855,-85.956,-86.060,-85.974,-85.968,-85.828,-85.794,-85.641,-85.538
1.299,-85.837,-85.733,-85.696,-85.809,-85.837,-85.779,-85.818,-85.904,-85.843,-85.913,-85.980,-86.017,-86.011,-85.965,-85.938,-85.901,-85.565,-85.532
1.399,-85.812,-85.858,-85.843,-85.803,-85.904,-85.916,-85.938,-85.876,-85.938,-85.947,-86.023,-85.953,-85.977,-85.938,-85.907,-85.944,-85.706,-85.477
1.499,-85.788,-85.831,-85.742,-85.739,-85.895,-85.754,-85.831,-85.892,-85.986,-85.907,-86.044,-86.002,-85.941,-86.011,-85.803,-85.834,-85.599,-85.577
1.598,-85.858,-85.773,-85.794,-85.800,-85.800,-85.892,-85.858,-85.977,-85.864,-85.864,-85.947,-86.063,-86.017,-86.017,-85.956,-85.901,-85.629,-85.526
1.698,-85.773,-85.864,-85.846,-85.825,-85.886,-85.788,-85.873,-85.910,-85.840,-85.843,-85.941,-86.014,-85.989,-85.919,-85.901,-85.928,-85.635,-85.535
1.798,-85.858,-85.815,-85.751,-85.715,-85.837,-85.861,-85.858,-85.895,-85.892,-85.913,-85.956,-85.962,-85.907,-86.069,-85.855,-85.840,-85.666,-85.504
1.898,-85.883,-85.858,-85.773,-85.840,-85.941,-85.867,-85.791,-85.898,-85.907,-85.916,-86.038,-86.002,-86.029,-85.999,-85.886,-85.986,-85.681,-85.516
1.998,-85.785,-85.898,-85.831,-85.754,-85.861,-85.806,-85.883,-85.968,-85.892,-85.883,-85.922,-86.038,-85.941,-85.944,-85.892,-85.834,-85.614,-85.596
2.098,-85.870,-85.791,-85.751,-85.849,-85.876,-85.825,-85.880,-85.941,-85.843,-85.864,-85.950,-85.968,-86.041,-85.965,-85.898,-85.953,-85.724,-85.461
2.198,-85.873,-85.846,-85.873,-85.760,-85.928,-85.886,-85.892,-85.883,-85.831,-85.928,-86.035,-86.081,-86.038,-85.898,-85.873,-85.919,-85.669,-85.565
2.298,-85.779,-85.904,-85.757,-85.822,-85.852,-85.849,-85.809,-85.806,-85.873,-85.901,-85.959,-85.974,-85.941,-86.020,-85.864,-85.919,-85.715,-85.495
2.398,-85.892,-85.822,-85.840,-85.818,-85.791,-85.822,-85.818,-85.889,-85.892,-85.889,-85.956,-86.029,-85.980,-85.883,-85.922,-85.947,-85.648,-85.611
2.498,-85.773,-85.907,-85.764,-85.776,-85.895,-85.803,-85.852,-85.919,-85.840,-85.919,-86.060,-86.044,-86.041,-85.965,-85.825,-85.883,-85.751,-85.489
2.597,-85.794,-85.822,-85.837,-85.822,-85.919,-85.846,-85.876,-85.895,-85.870,-85.928,-85.880,-85.977,-86.023,-85.968,-85.938,-85.989,-85.593,-85.580
2.697,-85.876,-85.876,-85.831,-85.883,-85.883,-85.864,-85.889,-85.907,-85.931,-85.886,-86.096,-85.995,-85.977,-85.965,-85.846,-85.907,-85.703,-85.501
2.797,-85.779,-85.837,-85.791,-85.831,-85.812,-85.870,-85.806,-85.898,-85.855,-85.925,-86.008,-86.066,-85.938,-86.017,-85.928,-85.992,-85.596,-85.574
2.897,-85.803,-85.889,-85.770,-85.748,-85.815,-85.806,-85.831,-85.904,-85.901,-85.907,-85.928,-85.922,-86.072,-85.919,-85.837,-85.876,-85.703,-85.480
2.997,-85.837,-85.867,-85.864,-85.767,-85.858,-85.803,-85.901,-85.873,-85.999,-85.889,-85.999,-86.029,-85.962,-85.986,-85.950,-85.944,-85.614,-85.565
3.097,-85.809,-85.788,-85.864,-85.797,-85.910,-85.825,-85.840,-85.867,-85.825,-85.925,-85.880,-86.029,-85.980,-85.895,-85.873,-85.864,-85.706,-85.492
3.197,-85.876,-85.831,-85.794,-85.834,-85.803,-85.873,-85.806,-85.992,-85.947,-85.782,-86.060,-86.041,-86.011,-85.989,-85.889,-85.999,-85.608,-85.599
3.297,-85.837,-85.910,-85.779,-85.818,-85.828,-85.812,-85.892,-85.797,-85.873,-85.928,-85.941,-86.011,-85.980,-85.938,-85.892,-85.849,-85.666,-85.513
3.397,-85.788,-85.883,-85.754,-85.739,-85.873,-85.809,-85.910,-85.895,-85.797,-85.913,-85.938,-85.953,-86.038,-85.989,-85.959,-85.968,-85.590,-85.571
3.497,-85.785,-85.834,-85.849,-85.757,-85.901,-85.852,-85.779,-85.965,-85.910,-85.886,-85.999,-86.053,-85.953,-85.947,-85.898,-85.883,-85.690,-85.498
3.596,-85.818,-85.782,-85.867,-85.828,-85.806,-85.837,-85.855,-85.855,-85.852,-85.989,-85.983,-85.965,-86.026,-85.992,-85.864,-85.953,-85.641,-85.599
3.696,-85.846,-85.849,-85.785,-85.803,-85.815,-85.828,-85.867,-85.880,-85.941,-85.858,-86.047,-86.035,-85.995,-85.944,-85.876,-85.904,-85.730,-85.449
3.796,-85.825,-85.843,-85.767,-85.736,-85.880,-85.757,-85.812,-85.864,-85.867,-85.919,-85.965,-85.959,-86.026,-85.965,-85.870,-85.977,-85.611,-85.556
3.896,-85.736,-85.892,-85.800,-85.770,-85.861,-85.779,-85.852,-85.895,-85.876,-85.831,-86.044,-86.093,-85.944,-85.953,-85.919,-85.892,-85.706,-85.468
3.996,-85.742,-85.797,-85.880,-85.858,-85.849,-85.800,-85.812,-85.892,-85.889,-85.931,-85.947,-85.956,-86.081,-85.971,-85.895,-86.011,-85.617,-85.544
4.096,-85.800,-85.773,-85.809,-85.818,-85.910,-85.825,-85.892,-85.849,-85.831,-85.883,-86.029,-86.014,-85.983,-85.938,-85.910,-85.941,-85.745,-85.431
