Time (ms),-200 pA,-175 pA,-150 pA,-125 pA,-100 pA,-75 pA,-50 pA,-25 pA,0 pA,25 pA,50 pA,75 pA,100 pA,125 pA,150 pA,175 pA,200 pA,225 pA
0.000,-81.976,-81.693,-81.268,-81.650,-81.726,-81.833,-81.696,-81.763,-81.729,-81.799,-81.808,-81.848,-81.824,-81.750,-81.738,-81.720,-81.448,-81.335
0.100,-81.738,-81.711,-81.241,-81.589,-81.830,-81.726,-81.827,-81.830,-81.793,-81.714,-81.683,-81.827,-81.708,-81.757,-81.830,-81.799,-81.558,-81.345
0.200,-81.668,-81.631,-81.174,-81.644,-81.772,-81.802,-81.833,-81.860,-81.891,-81.818,-81.833,-81.805,-81.729,-81.830,-81.799,-81.726,-81.458,-81.287
0.300,-81.638,-81.729,-81.274,-81.711,-81.885,-81.741,-81.927,-81.854,-81.824,-81.750,-81.848,-81.839,-81.628,-81.854,-81.787,-81.747,-81.549,-81.384
0.400,-81.665,-81.732,-81.226,-81.693,-81.760,-81.769,-81.772,-81.778,-81.851,-81.790,-81.873,-81.848,-81.747,-81.790,-81.897,-81.720,-81.503,-81.375
0.500,-81.741,-81.677,-81.293,-81.683,-81.824,-81.708,-81.876,-81.845,-81.815,-81.656,-81.738,-81.842,-81.741,-81.757,-81.769,-81.763,-81.470,-81.311
0.599,-81.708,-81.668,-81.192,-81.644,-81.729,-81.802,-81.842,-81.812,-81.891,-81.839,-81.818,-81.793,-81.754,-81.839,-81.799,-81.848,-81.522,-81.430
0.699,-81.671,-81.699,-81.274,-81.650,-81.839,-81.772,-81.885,-81.824,-81.848,-81.757,-81.766,-81.848,-81.711,-81.848,-81.699,-81.763,-81.473,-81.332
0.799,-81.689,-81.659,-81.192,-81.738,-81.790,-81.775,-81.760,-81.818,-81.876,-81.808,-81.793,-81.827,-81.711,-81.821,-81.857,-81.802,-81.601,-81.335
0.899,-81.726,-81.757,-81.290,-81.714,-81.766,-81.763,-81.821,-81.750,-81.775,-81.717,-81.830,-81.851,-81.686,-81.821,-81.830,-81.735,-81.476,-81.421
