x,25pA,-25pA,-50pA,-75pA,-100pA,-125pA,-150pA,-175pA,-200pA
-0.346715,0.115217,0.0886957,0.0773072,0.0623426,0.050087,0.0420704,0.0176421,0.00582609,-0.00320158
-0.344526,0.0956522,0.0886957,0.0772651,0.0618949,0.0499565,0.0423188,0.0176923,0.00634783,-0.0020751
-0.343796,0.0961111,0.0886957,0.0772511,0.0617456,0.049913,0.0424017,0.017709,0.00652174,-0.0016996
-0.338686,0.0993237,0.0886957,0.0771529,0.0607008,0.0496087,0.0429814,0.0178261,0.00956522,0.000928854
-0.337956,0.0997826,0.0886957,0.0771388,0.0605516,0.0495652,0.0430642,0.0181225,0.01,0.00130435
-0.334307,0.102077,0.0884151,0.0770687,0.0598053,0.0494099,0.0434783,0.0196047,0.0121739,0.00363354
-0.332117,0.103454,0.0882468,0.0770266,0.0593576,0.0493168,0.0432609,0.0204941,0.0134783,0.00503106
-0.331387,0.103913,0.0881907,0.0770126,0.0592083,0.0492857,0.0431884,0.0207905,0.0137923,0.00549689
-0.328467,0.105385,0.0879663,0.0769565,0.0586113,0.0491615,0.0428986,0.0219763,0.0150483,0.00736025
-0.327737,0.105753,0.0879102,0.0769739,0.058462,0.0491304,0.0428261,0.0222727,0.0153623,0.00782609
-0.322628,0.108328,0.0875175,0.0770957,0.0574173,0.048913,0.0423188,0.0243478,0.0175604,0.0105492
-0.321898,0.108696,0.0874614,0.077113,0.057268,0.048882,0.0422464,0.0246911,0.0178744,0.0109382
-0.321168,0.108854,0.0874053,0.0771304,0.0571188,0.0488509,0.0421739,0.0250343,0.0181884,0.0113272
-0.318978,0.109328,0.087237,0.0771826,0.056671,0.0487578,0.0417903,0.0260641,0.0191304,0.0124943
-0.318248,0.109486,0.0871809,0.0772,0.0565217,0.0487267,0.0416624,0.0264073,0.0194783,0.0128833
-0.317518,0.109644,0.0871248,0.0772174,0.0565399,0.0486957,0.0415345,0.0267506,0.0198261,0.0132723
-0.315328,0.110119,0.0869565,0.0772696,0.0565942,0.0493478,0.0411509,0.0277803,0.0208696,0.0144394
-0.313869,0.110435,0.0869119,0.0773043,0.0566304,0.0497826,0.0408951,0.0284668,0.0215652,0.0152174
-0.310219,0.112764,0.0868004,0.0773913,0.056721,0.0508696,0.0402558,0.0301831,0.0233043,0.016476
-0.308759,0.113696,0.0867559,0.0771981,0.0567572,0.0513043,0.04,0.0308696,0.024,0.0169794
-0.308029,0.114161,0.0867336,0.0771014,0.0567754,0.0515217,0.040029,0.031023,0.0243478,0.0172311
-0.307299,0.114627,0.0867113,0.0770048,0.0567935,0.0517391,0.040058,0.0311765,0.0246014,0.0174828
-0.30365,0.116957,0.0865998,0.0765217,0.0568841,0.0512733,0.0402029,0.0319437,0.0258696,0.0187414
-0.30292,0.213478,0.0865775,0.0764251,0.0569022,0.0511801,0.0402319,0.0320972,0.0261232,0.0189931
