Time S,1e-09 A
41.104110411041106,-0.03539075591955904
41.13411341134113,-0.036679590321386006
41.16411641164117,-0.03797334737023427
41.194119411941195,-0.03927520796996851
41.22412241224122,-0.04058868777904088
41.254125412541256,-0.04191763863274086
41.284128412841284,-0.04326623644348614
41.31413141314132,-0.044640206349447036
41.344134413441346,-0.04604563958237939
41.37413741374137,-0.04748519160905417
41.40414041404141,-0.04896174320032603
41.434143414341435,-0.05048048230920595
41.46414641464147,-0.05204581588813761
41.494149414941496,-0.053661001735853996
41.524152415241524,-0.0553276704347166
41.55415541554156,-0.05704515590624016
41.584158415841586,-0.05880967798335817
41.61416141614162,-0.06061347863075609
41.64416441644164,-0.06244390598489887
41.674167416741675,-0.06428284145916688
41.7041704170417,-0.06610672628245418
41.73417341734174,-0.06788728331619415
41.76417641764177,-0.06959332478004329
41.79417941794179,-0.0711935680094754
41.824182418241826,-0.0726600690040711
41.85418541854185,-0.07397154753892463
41.88418841884189,-0.07511576261344066
41.914191419141915,-0.07609032892221063
41.94419441944194,-0.07690186772954424
41.97419741974198,-0.07756390465103702
42.004200420042004,-0.0780942120880728
42.03420342034204,-0.07851226483049073
42.064206420642066,-0.07883723927144004
42.09420942094209,-0.0790867048980719
42.12421242124213,-0.07927594994616274
42.154215421542155,-0.07941778343149819
42.18421842184219,-0.07952264059886019
42.21422142214222,-0.07959884858371899
42.244224422442244,-0.07965295235723033
42.27422742274228,-0.07969004042380584
42.304230423042306,-0.0797140389553323
42.33423342334233,-0.07972796196983781
42.36423642364236,-0.07973411604461086
42.394239423942395,-0.0797342635139302
42.42424242424243,-0.07972975025762216
42.45424542454246,-0.07972160453506044
42.484248424842484,-0.0797106127855057
42.51425142514251,-0.07969737744206848
42.544254425442546,-0.07968236087671338
42.57425742574258,-0.0796659187416949
42.60426042604261,-0.0796483252490181
42.634263426342635,-0.07962979234279899
42.66426642664266,-0.07961048425230813
42.6942694269427,-0.07959052855396156
42.72427242724273,-0.07957002459646306
42.75427542754275,-0.07954904992935258
42.784278427842786,-0.07952766522057877
42.81428142814281,-0.07950591802768844
42.84428442844285,-0.07948384569621045
42.87428742874288,-0.07946147759524091
42.9042904290429,-0.07943883684428205
42.93429342934294,-0.07941594165310062
42.964296429642964,-0.07939280636233262
42.994299429943,-0.0793694422555209
43.024302430243026,-0.0793458581936243
43.05430543054305,-0.07932206111256965
43.08430843084309,-0.07929805641491477
43.114311431143115,-0.07927384827798062
43.14431443144315,-0.07924943989866443
43.17431743174317,-0.07922483368623007
43.204320432043204,-0.0792000314173075
43.23432343234324,-0.0791750343577427
43.264326432643266,-0.07914984336199993
43.2943294329433,-0.07912445895096815
43.32433243324332,-0.07909888137651808
43.354335433543355,-0.0790731106717287
43.38433843384339,-0.07904714669332569
43.41434143414342,-0.07902098915450756
43.444344434443444,-0.07899463765316536
43.47434743474347,-0.07896809169364036
43.504350435043506,-0.07894135070568253
43.53435343534354,-0.07891441405915628
43.56435643564357,-0.07888728107686382
43.594359435943595,-0.0788599510447078
43.62436243624362,-0.07883242322038217
