Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-47.7294883728,-44.4946250916,-48.5839805603,-48.8891563416,-46.8749961853
0.1000000015,-47.5463829041,-44.7998008728,-48.2177696228,-49.0112266541,-46.6308555603
0.200000003,-47.3632774353,-44.3115196228,-48.4008750916,-48.8281211853,-46.9360313416
0.3000000119,-47.5463829041,-44.1284141541,-48.0956993103,-48.8891563416,-46.6308555603
0.400000006,-47.3022422791,-44.0063438416,-47.9736289978,-49.1943321228,-46.7529258728
0.5,-47.6074180603,-43.7011680603,-48.0346641541,-48.7670860291,-46.9360313416
0.6000000238,-47.2412071228,-43.7622032166,-47.8515586853,-49.0112266541,-46.5698204041
0.6999999881,-47.5463829041,-43.1518516541,-48.0346641541,-48.8281211853,-46.3256797791
0.8000000119,-47.3632774353,-43.1518516541,-47.8515586853,-48.6450157166,-46.2646446228
0.8999999762,-47.4853477478,-42.9687461853,-47.7905235291,-48.7060508728,-46.3256797791
1,-47.3632774353,-42.9077110291,-47.6074180603,-48.8891563416,-46.1425743103
1.1000000238,-47.3632774353,-42.5415000916,-47.4853477478,-48.9501914978,-46.2646446228
1.2000000477,-47.3632774353,-42.0532188416,-47.5463829041,-48.7670860291,-46.2646446228
1.2999999523,-47.4243125916,-41.9921836853,-47.1801719666,-48.7670860291,-46.1425743103
1.3999999762,-47.3022422791,-41.2597618103,-47.3632774353,-48.6450157166,-46.4477500916
1.5,-47.0581016541,-38.8183555603,-47.1191368103,-48.6450157166,-46.3256797791
1.6000000238,-46.9360313416,-22.2778301239,-46.9970664978,-48.4619102478,-46.5698204041
1.7000000477,-46.7529258728,25.6347637177,-47.0581016541,-48.4619102478,-46.8139610291
1.7999999523,-46.6918907166,22.3999004364,-47.1191368103,-48.4619102478,-46.6918907166
1.8999999762,-46.9360313416,-26.7944316864,-47.2412071228,-48.2177696228,-46.8749961853
2,-46.8749961853,-51.8188438416,-47.0581016541,-48.1567344666,-46.6308555603
2.0999999046,-46.7529258728,-57.1899375916,-47.2412071228,-48.0346641541,-46.9360313416
2.2000000477,-46.5698204041,-58.5937461853,-47.1801719666,-48.0346641541,-46.6918907166
2.2999999523,-46.5087852478,-58.4716758728,-46.9360313416,-47.9736289978,-46.6918907166
2.4000000954,-46.3256797791,-58.0444297791,-46.8139610291,-47.8515586853,-46.9360313416
2.5,-46.5087852478,-57.8002891541,-46.6918907166,-47.9125938416,-46.8749961853
2.5999999046,-46.5698204041,-57.0068321228,-46.7529258728,-47.7905235291,-47.0581016541
2.7000000477,-45.9594688416,-56.3354454041,-46.7529258728,-47.6074180603,-46.6308555603
2.7999999523,-46.2036094666,-55.3588829041,-46.8749961853,-47.7294883728,-46.7529258728
2.9000000954,-45.7763633728,-54.7485313416,-46.5698204041,-47.7294883728,-46.8139610291
3,-46.2646446228,-54.3212852478,-46.3867149353,-47.6684532166,-46.7529258728
3.0999999046,-46.0815391541,-53.5888633728,-46.3867149353,-47.1801719666,-46.8139610291
3.2000000477,-45.8984336853,-53.1616172791,-46.3867149353,-47.2412071228,-46.5698204041
3.2999999523,-45.6542930603,-52.6123008728,-46.5698204041,-47.2412071228,-46.6308555603
3.4000000954,-45.8373985291,-52.5512657166,-46.3867149353,-47.1801719666,-46.3867149353
3.5,-45.7763633728,-51.8798789978,-46.4477500916,-46.9970664978,-46.7529258728
3.5999999046,-45.4101524353,-51.5136680603,-46.5698204041,-46.8749961853,-46.5087852478
3.7000000477,-45.1660118103,-51.2695274353,-46.4477500916,-46.6308555603,-46.4477500916
3.7999999523,-45.2880821228,-51.0864219666,-46.5087852478,-46.6918907166,-46.4477500916
3.9000000954,-45.0439414978,-51.1474571228,-46.1425743103,-46.6918907166,-46.4477500916
4,-44.9218711853,-50.6591758728,-46.3867149353,-46.3867149353,-46.3867149353
