Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-40.28320313,-42.11425781,-46.38671875,-32.65380859,-43.9453125
0.100000001,-40.89355469,-43.64013672,-46.99707031,-31.43310547,-44.25048828
0.200000003,-38.75732422,-47.91259766,-46.69189453,-33.26416016,-44.25048828
0.300000012,-39.97802734,-45.77636719,-46.99707031,-30.51757813,-44.86083984
0.400000006,-39.36767578,-47.60742188,-46.99707031,-32.04345703,-44.55566406
0.5,-40.28320313,-48.21777344,-45.77636719,-25.32958984,-45.47119141
0.600000024,-38.45214844,-46.99707031,-46.69189453,-9.155273438,-43.9453125
0.699999988,-40.28320313,-47.60742188,-45.16601563,17.39501953,-45.16601563
0.800000012,-42.11425781,-48.52294922,-46.99707031,34.79003906,-44.25048828
0.899999976,-38.45214844,-47.91259766,-45.47119141,36.62109375,-43.64013672
1,-39.36767578,-48.21777344,-47.60742188,28.99169922,-45.16601563
1.100000024,-40.28320313,-46.99707031,-45.77636719,16.47949219,-42.41943359
1.200000048,-39.36767578,-47.30224609,-47.91259766,1.831054688,-43.9453125
1.299999952,-37.53662109,-47.91259766,-46.08154297,-10.07080078,-43.02978516
1.399999976,-39.67285156,-45.16601563,-46.99707031,-20.75195313,-43.02978516
1.5,-40.58837891,-47.91259766,-46.38671875,-29.60205078,-42.72460938
1.600000024,-37.84179688,-46.69189453,-46.38671875,-36.31591797,-42.72460938
1.700000048,-40.58837891,-46.99707031,-45.16601563,-38.45214844,-44.25048828
1.799999952,-38.14697266,-46.38671875,-46.99707031,-43.02978516,-43.33496094
1.899999976,-38.45214844,-45.77636719,-45.47119141,-44.25048828,-44.55566406
2,-38.14697266,-47.91259766,-46.38671875,-46.08154297,-44.55566406
2.099999905,-37.23144531,-45.47119141,-45.77636719,-46.99707031,-44.86083984
2.200000048,-39.67285156,-47.30224609,-47.30224609,-46.99707031,-43.64013672
2.299999952,-37.84179688,-46.69189453,-46.08154297,-48.52294922,-42.41943359
2.400000095,-37.84179688,-45.47119141,-46.99707031,-47.60742188,-43.9453125
2.5,-39.0625,-46.38671875,-45.47119141,-48.828125,-43.33496094
2.599999905,-38.14697266,-45.77636719,-47.60742188,-47.60742188,-43.9453125
2.700000048,-37.84179688,-45.77636719,-45.77636719,-47.91259766,-43.9453125
2.799999952,-37.23144531,-46.08154297,-45.16601563,-46.38671875,-43.9453125
2.900000095,-38.45214844,-45.16601563,-47.91259766,-46.69189453,-42.72460938
3,-37.84179688,-46.99707031,-46.38671875,-47.60742188,-43.02978516
3.099999905,-37.23144531,-44.86083984,-47.91259766,-46.38671875,-45.47119141
3.200000048,-38.14697266,-46.08154297,-46.69189453,-46.38671875,-43.02978516
3.299999952,-37.53662109,-45.16601563,-46.69189453,-46.08154297,-43.33496094
3.400000095,-37.53662109,-45.77636719,-46.38671875,-46.69189453,-42.11425781
3.5,-36.92626953,-46.08154297,-45.77636719,-47.30224609,-44.25048828
3.599999905,-38.75732422,-46.08154297,-47.30224609,-47.60742188,-44.55566406
3.700000048,-36.31591797,-45.77636719,-46.08154297,-46.38671875,-42.41943359
3.799999952,-37.84179688,-46.38671875,-46.38671875,-45.47119141,-42.72460938
3.900000095,-36.31591797,-46.38671875,-45.47119141,-46.99707031,-43.33496094
4,-37.84179688,-45.16601563,-44.55566406,-47.30224609,-44.25048828
4.099999905,-35.09521484,-45.47119141,-45.16601563,-46.69189453,-42.41943359
4.199999809,-36.62109375,-47.60742188,-44.55566406,-45.47119141,-42.11425781
4.300000191,-37.53662109,-46.08154297,-47.30224609,-45.77636719,-44.25048828
4.400000095,-37.23144531,-47.60742188,-46.08154297,-47.60742188,-42.72460938
4.5,-36.31591797,-46.99707031,-47.60742188,-47.30224609,-42.41943359
4.599999905,-36.92626953,-47.30224609,-45.77636719,-46.69189453,-43.02978516
4.699999809,-36.31591797,-46.99707031,-45.47119141,-45.16601563,-42.72460938
4.800000191,-36.62109375,-47.91259766,-44.86083984,-46.38671875,-41.50390625
4.900000095,-36.92626953,-48.828125,-45.47119141,-47.30224609,-42.11425781
5,-36.31591797,-47.30224609,-47.91259766,-46.38671875,-44.25048828
5.099999905,-34.79003906,-48.52294922,-45.77636719,-46.38671875,-42.11425781
5.199999809,-36.62109375,-46.38671875,-46.38671875,-46.69189453,-43.33496094
5.300000191,-36.01074219,-46.99707031,-45.16601563,-46.69189453,-42.11425781
5.400000095,-36.92626953,-46.08154297,-46.08154297,-45.77636719,-42.11425781
5.5,-36.92626953,-45.47119141,-46.08154297,-46.69189453,-42.72460938
5.599999905,-36.31591797,-47.30224609,-46.38671875,-47.60742188,-42.41943359
5.699999809,-36.92626953,-45.47119141,-46.38671875,-46.08154297,-41.50390625
5.800000191,-36.01074219,-46.38671875,-44.55566406,-46.08154297,-43.33496094
5.900000095,-35.70556641,-47.30224609,-46.99707031,-46.99707031,-42.41943359
6,-35.70556641,-47.30224609,-45.47119141,-47.30224609,-41.19873047
6.099999905,-35.70556641,-45.47119141,-45.47119141,-45.16601563,-41.80908203
6.199999809,-35.09521484,-45.47119141,-44.86083984,-46.99707031,-40.89355469
6.300000191,-34.79003906,-47.60742188,-46.38671875,-46.69189453,-43.02978516
6.400000095,-35.09521484,-46.69189453,-46.69189453,-45.77636719,-43.02978516
6.5,-33.56933594,-46.99707031,-44.25048828,-48.52294922,-42.41943359
6.599999905,-33.56933594,-45.16601563,-46.99707031,-46.69189453,-43.64013672
6.699999809,-33.26416016,-44.86083984,-45.77636719,-46.38671875,-41.19873047
6.800000191,-34.48486328,-46.08154297,-44.86083984,-47.30224609,-43.33496094
6.900000095,-35.40039063,-46.08154297,-44.86083984,-46.08154297,-40.58837891
7,-34.79003906,-47.30224609,-45.47119141,-47.60742188,-43.33496094
7.099999905,-32.95898438,-45.16601563,-45.77636719,-46.69189453,-42.41943359
7.199999809,-29.296875,-47.30224609,-44.86083984,-46.08154297,-43.64013672
7.300000191,-16.47949219,-46.08154297,-46.08154297,-47.60742188,-42.41943359
7.400000095,3.967285156,-45.77636719,-43.9453125,-46.99707031,-42.72460938
7.5,28.99169922,-44.55566406,-44.86083984,-46.38671875,-41.50390625
7.599999905,38.14697266,-46.38671875,-45.77636719,-46.38671875,-42.11425781
7.699999809,36.31591797,-47.60742188,-44.55566406,-47.60742188,-42.41943359
7.800000191,27.16064453,-44.86083984,-46.08154297,-47.91259766,-44.55566406
7.900000095,14.95361328,-46.69189453,-45.47119141,-45.77636719,-41.50390625
8,3.051757813,-46.08154297,-44.86083984,-47.30224609,-43.64013672
8.100000381,-7.32421875,-45.77636719,-45.77636719,-46.69189453,-41.19873047
8.199999809,-17.08984375,-43.64013672,-44.25048828,-46.99707031,-42.72460938
8.300000191,-27.16064453,-46.99707031,-46.08154297,-45.77636719,-40.28320313
8.399999619,-32.95898438,-46.69189453,-45.16601563,-48.21777344,-43.33496094
