Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-43.02978516,-36.92626953,-39.0625,-40.58837891,-43.9453125
0.100000001,-42.41943359,-39.67285156,-40.58837891,-39.36767578,-43.33496094
0.200000003,-43.02978516,-37.84179688,-39.0625,-39.67285156,-42.72460938
0.300000012,-44.55566406,-37.53662109,-41.80908203,-39.0625,-44.86083984
0.400000006,-43.33496094,-39.0625,-38.75732422,-39.67285156,-43.33496094
0.5,-44.25048828,-37.84179688,-40.28320313,-40.28320313,-44.25048828
0.600000024,-43.02978516,-37.53662109,-39.0625,-40.28320313,-43.02978516
0.699999988,-42.72460938,-37.84179688,-39.0625,-39.0625,-43.33496094
0.800000012,-41.80908203,-37.84179688,-39.0625,-38.14697266,-42.72460938
0.899999976,-42.72460938,-37.53662109,-38.45214844,-38.45214844,-43.33496094
1,-43.9453125,-38.14697266,-40.89355469,-38.75732422,-44.86083984
1.100000024,-41.80908203,-38.45214844,-38.75732422,-39.97802734,-41.80908203
1.200000048,-43.33496094,-37.84179688,-39.0625,-39.0625,-44.55566406
1.299999952,-43.64013672,-37.84179688,-39.36767578,-38.75732422,-41.50390625
1.399999976,-42.11425781,-38.45214844,-39.36767578,-39.36767578,-43.9453125
1.5,-41.80908203,-37.53662109,-37.53662109,-38.14697266,-42.11425781
1.600000024,-43.33496094,-39.0625,-38.45214844,-39.0625,-43.02978516
1.700000048,-43.33496094,-37.84179688,-39.67285156,-38.14697266,-43.33496094
1.799999952,-43.64013672,-37.53662109,-38.45214844,-38.45214844,-43.33496094
1.899999976,-43.02978516,-36.62109375,-39.67285156,-38.75732422,-42.72460938
2,-42.41943359,-38.14697266,-38.45214844,-37.53662109,-43.9453125
2.099999905,-42.11425781,-37.84179688,-38.75732422,-38.45214844,-42.72460938
2.200000048,-43.02978516,-37.84179688,-37.84179688,-38.45214844,-43.02978516
2.299999952,-43.33496094,-37.84179688,-38.14697266,-39.0625,-42.41943359
2.400000095,-43.02978516,-36.92626953,-39.0625,-37.84179688,-44.25048828
2.5,-42.11425781,-36.62109375,-37.23144531,-39.0625,-43.02978516
2.599999905,-43.33496094,-36.92626953,-38.45214844,-37.53662109,-42.72460938
2.700000048,-43.33496094,-37.53662109,-36.01074219,-37.53662109,-42.11425781
2.799999952,-41.50390625,-36.31591797,-37.84179688,-37.53662109,-43.02978516
2.900000095,-42.41943359,-36.01074219,-36.31591797,-37.23144531,-42.41943359
3,-43.33496094,-37.53662109,-38.14697266,-38.45214844,-43.9453125
3.099999905,-43.02978516,-36.92626953,-38.45214844,-37.23144531,-44.55566406
3.200000048,-43.02978516,-36.62109375,-37.23144531,-37.84179688,-41.50390625
3.299999952,-43.33496094,-36.01074219,-37.23144531,-37.84179688,-43.64013672
3.400000095,-43.33496094,-36.01074219,-37.53662109,-38.14697266,-42.41943359
3.5,-41.80908203,-36.01074219,-38.45214844,-37.53662109,-42.41943359
3.599999905,-43.64013672,-36.62109375,-37.84179688,-37.53662109,-42.41943359
3.700000048,-43.33496094,-36.92626953,-37.53662109,-38.14697266,-43.33496094
3.799999952,-43.33496094,-35.09521484,-36.92626953,-36.92626953,-43.9453125
3.900000095,-42.41943359,-36.92626953,-37.53662109,-37.23144531,-42.72460938
4,-43.33496094,-34.48486328,-38.14697266,-36.62109375,-44.25048828
4.099999905,-41.50390625,-36.01074219,-37.23144531,-37.23144531,-42.72460938
4.199999809,-42.11425781,-34.48486328,-36.62109375,-37.23144531,-43.33496094
4.300000191,-43.33496094,-34.48486328,-36.62109375,-36.62109375,-42.41943359
4.400000095,-42.11425781,-35.40039063,-37.23144531,-38.75732422,-42.11425781
4.5,-43.64013672,-35.09521484,-37.84179688,-37.53662109,-44.55566406
4.599999905,-42.41943359,-35.09521484,-36.31591797,-37.23144531,-41.19873047
4.699999809,-42.11425781,-34.79003906,-38.45214844,-36.62109375,-42.41943359
