Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-54.19921494,-47.79052353,-46.44775009,-44.73876572,-47.91259384
0.100000001,-54.13817978,-47.48534775,-46.20360947,-44.55566025,-47.85155869
0.200000003,-53.89403915,-47.60741806,-45.95946884,-44.67773056,-47.60741806
0.300000012,-53.95507431,-47.48534775,-46.020504,-44.67773056,-47.72948837
0.400000006,-53.77196884,-47.42431259,-45.77636337,-44.55566025,-47.79052353
0.5,-53.58886337,-47.72948837,-45.95946884,-44.37255478,-47.5463829
0.600000024,-53.4057579,-47.48534775,-46.26464462,-44.55566025,-47.5463829
0.699999988,-53.22265244,-47.66845322,-46.020504,-44.6166954,-47.79052353
0.800000012,-53.22265244,-47.79052353,-45.83739853,-44.6166954,-47.91259384
0.899999976,-53.16161728,-47.79052353,-45.83739853,-44.31151962,-47.66845322
1,-52.8564415,-47.5463829,-45.77636337,-44.25048447,-47.66845322
1.100000024,-52.97851181,-47.42431259,-45.89843369,-44.43358994,-47.79052353
1.200000048,-53.03954697,-47.66845322,-45.95946884,-44.49462509,-47.42431259
1.299999952,-52.91747665,-47.42431259,-46.08153915,-44.25048447,-47.66845322
1.399999976,-52.8564415,-47.18017197,-45.65429306,-44.37255478,-47.5463829
1.5,-52.79540634,-47.30224228,-45.77636337,-44.49462509,-47.42431259
1.600000024,-52.49023056,-47.24120712,-45.95946884,-44.43358994,-47.48534775
1.700000048,-52.4291954,-47.05810165,-45.89843369,-44.067379,-47.48534775
1.799999952,-52.55126572,-47.05810165,-45.53222275,-44.37255478,-47.36327744
1.899999976,-52.18505478,-47.36327744,-45.53222275,-44.18944931,-47.30224228
2,-52.30712509,-47.11913681,-45.95946884,-44.00634384,-47.66845322
2.099999905,-52.4291954,-47.42431259,-45.65429306,-44.31151962,-47.11913681
2.200000048,-52.4291954,-47.36327744,-45.47118759,-44.18944931,-47.42431259
2.299999952,-52.18505478,-47.24120712,-45.41015244,-43.88427353,-47.24120712
2.400000095,-52.00194931,-46.9970665,-45.71532822,-44.12841415,-47.18017197
2.5,-52.06298447,-46.9970665,-45.28808212,-44.067379,-47.42431259
