Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-40.8935546875,-35.400390625,-44.8608398438,-41.8090820313,-39.3676757813
0.1000000015,-40.8935546875,-33.8745117188,-46.6918945313,-42.1142578125,-41.50390625
0.200000003,-41.1987304688,-34.1796875,-45.4711914063,-42.1142578125,-41.1987304688
0.3000000119,-41.8090820313,-34.4848632813,-45.166015625,-41.1987304688,-39.9780273438
0.400000006,-40.8935546875,-34.4848632813,-43.9453125,-41.50390625,-39.6728515625
0.5,-41.8090820313,-34.4848632813,-43.3349609375,-42.1142578125,-40.283203125
0.6000000238,-40.283203125,-34.1796875,-45.166015625,-42.4194335938,-41.1987304688
0.6999999881,-40.283203125,-33.5693359375,-45.166015625,-41.8090820313,-39.6728515625
0.8000000119,-40.8935546875,-32.958984375,-45.166015625,-40.8935546875,-40.5883789063
0.8999999762,-42.4194335938,-34.1796875,-43.9453125,-41.1987304688,-40.283203125
1,-41.50390625,-33.8745117188,-43.9453125,-42.1142578125,-40.8935546875
1.1000000238,-39.9780273438,-33.8745117188,-44.8608398438,-42.1142578125,-39.9780273438
1.2000000477,-39.6728515625,-33.2641601563,-45.166015625,-41.1987304688,-38.1469726563
1.2999999523,-40.283203125,-32.3486328125,-45.166015625,-40.5883789063,-40.8935546875
1.3999999762,-40.8935546875,-33.5693359375,-43.9453125,-42.1142578125,-39.3676757813
1.5,-40.5883789063,-33.2641601563,-46.0815429688,-41.50390625,-39.6728515625
1.6000000238,-39.9780273438,-33.5693359375,-45.166015625,-40.283203125,-40.5883789063
1.7000000477,-40.5883789063,-32.6538085938,-45.166015625,-40.5883789063,-40.5883789063
1.7999999523,-40.8935546875,-32.0434570313,-43.6401367188,-42.4194335938,-39.9780273438
1.8999999762,-41.50390625,-33.5693359375,-44.5556640625,-41.8090820313,-39.6728515625
2,-39.3676757813,-33.2641601563,-45.4711914063,-40.5883789063,-41.1987304688
2.0999999046,-39.9780273438,-32.6538085938,-43.9453125,-42.1142578125,-38.7573242188
2.2000000477,-40.5883789063,-30.8227539063,-43.9453125,-41.8090820313,-39.6728515625
2.2999999523,-40.8935546875,-33.2641601563,-45.166015625,-39.9780273438,-39.0625
2.4000000954,-39.9780273438,-32.0434570313,-44.2504882813,-41.50390625,-38.7573242188
2.5,-39.6728515625,-30.2124023438,-43.3349609375,-41.1987304688,-40.5883789063
2.5999999046,-40.8935546875,-28.3813476563,-44.5556640625,-40.283203125,-39.6728515625
2.7000000477,-40.5883789063,-19.8364257813,-44.8608398438,-42.724609375,-38.7573242188
2.7999999523,-38.7573242188,-2.7465820313,-43.0297851563,-40.283203125,-40.283203125
2.9000000954,-40.8935546875,13.427734375,-44.5556640625,-40.8935546875,-39.6728515625
3,-40.283203125,15.2587890625,-45.166015625,-41.1987304688,-38.4521484375
3.0999999046,-39.0625,10.3759765625,-42.724609375,-40.5883789063,-40.283203125
3.2000000477,-39.6728515625,-0.9155273438,-44.8608398438,-41.1987304688,-39.0625
3.2999999523,-39.9780273438,-15.5639648438,-43.3349609375,-41.8090820313,-39.9780273438
3.4000000954,-39.0625,-22.2778320313,-43.3349609375,-40.283203125,-39.6728515625
3.5,-39.9780273438,-30.517578125,-45.166015625,-42.1142578125,-38.7573242188
3.5999999046,-40.5883789063,-36.3159179688,-43.3349609375,-40.283203125,-39.6728515625
3.7000000477,-38.1469726563,-39.3676757813,-43.6401367188,-40.8935546875,-38.1469726563
3.7999999523,-40.283203125,-42.724609375,-44.5556640625,-41.1987304688,-39.6728515625
3.9000000954,-39.0625,-45.166015625,-43.0297851563,-40.8935546875,-39.0625
4,-39.0625,-46.0815429688,-44.2504882813,-41.8090820313,-40.283203125
4.0999999046,-39.9780273438,-47.9125976563,-44.2504882813,-40.5883789063,-38.4521484375
4.1999998093,-37.5366210938,-47.3022460938,-43.6401367188,-40.8935546875,-40.283203125
4.3000001907,-39.6728515625,-47.607421875,-44.2504882813,-40.5883789063,-39.0625
4.4000000954,-38.4521484375,-48.2177734375,-43.3349609375,-41.8090820313,-39.6728515625
4.5,-38.7573242188,-48.2177734375,-44.2504882813,-40.283203125,-39.0625
4.5999999046,-39.0625,-49.1333007813,-42.724609375,-40.8935546875,-39.0625
4.6999998093,-38.1469726563,-48.2177734375,-43.9453125,-40.8935546875,-40.5883789063
4.8000001907,-39.9780273438,-48.828125,-42.4194335938,-40.8935546875,-39.3676757813
4.9000000954,-37.2314453125,-48.2177734375,-43.9453125,-41.1987304688,-38.1469726563
5,-39.3676757813,-47.9125976563,-43.0297851563,-38.7573242188,-38.4521484375
5.0999999046,-38.1469726563,-48.828125,-43.0297851563,-40.8935546875,-38.7573242188
5.1999998093,-38.7573242188,-47.3022460938,-43.3349609375,-40.283203125,-39.3676757813
5.3000001907,-38.1469726563,-48.5229492188,-43.9453125,-40.283203125,-39.6728515625
5.4000000954,-37.2314453125,-47.9125976563,-43.9453125,-39.3676757813,-39.3676757813
5.5,-38.7573242188,-48.828125,-42.724609375,-39.6728515625,-39.0625
5.5999999046,-36.62109375,-48.2177734375,-43.6401367188,-40.5883789063,-38.7573242188
5.6999998093,-38.1469726563,-48.2177734375,-43.9453125,-40.283203125,-39.0625
5.8000001907,-36.62109375,-48.828125,-43.9453125,-41.1987304688,-39.0625
5.9000000954,-39.0625,-46.9970703125,-43.0297851563,-40.5883789063,-38.4521484375
6,-36.9262695313,-46.6918945313,-42.724609375,-41.50390625,-39.0625
6.0999999046,-36.62109375,-49.1333007813,-42.4194335938,-41.1987304688,-38.7573242188
6.1999998093,-38.4521484375,-47.9125976563,-43.3349609375,-40.8935546875,-39.0625
6.3000001907,-36.9262695313,-47.607421875,-42.4194335938,-40.8935546875,-38.4521484375
6.4000000954,-36.0107421875,-46.9970703125,-42.4194335938,-39.3676757813,-38.7573242188
6.5,-36.9262695313,-47.3022460938,-42.4194335938,-40.283203125,-39.3676757813
6.5999999046,-35.7055664063,-46.9970703125,-42.4194335938,-40.5883789063,-39.6728515625
6.6999998093,-35.7055664063,-46.6918945313,-42.724609375,-41.1987304688,-37.841796875
6.8000001907,-36.0107421875,-47.3022460938,-42.4194335938,-40.5883789063,-38.7573242188
