Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
0,-48.40087509,-41.07665634,-45.41015244,-43.88427353,-48.40087509
0.100000001,-48.15673447,-41.38183212,-45.34911728,-43.82323837,-48.5229454
0.200000003,-48.15673447,-41.01562119,-45.65429306,-44.00634384,-48.21776962
0.300000012,-48.15673447,-41.07665634,-45.41015244,-43.94530869,-48.40087509
0.400000006,-48.15673447,-40.95458603,-45.47118759,-43.82323837,-48.46191025
0.5,-48.09569931,-40.95458603,-45.41015244,-43.82323837,-48.33983994
0.600000024,-48.03466415,-40.77148056,-45.10497665,-43.82323837,-48.58398056
0.699999988,-48.15673447,-40.64941025,-45.16601181,-43.6401329,-48.40087509
0.800000012,-47.85155869,-41.01562119,-45.0439415,-43.39599228,-48.76708603
0.899999976,-47.91259384,-40.58837509,-45.34911728,-43.6401329,-48.40087509
1,-47.85155869,-40.77148056,-45.16601181,-43.88427353,-48.5229454
1.100000024,-47.91259384,-40.83251572,-45.53222275,-43.82323837,-48.58398056
1.200000048,-47.66845322,-40.77148056,-45.34911728,-43.76220322,-48.40087509
1.299999952,-47.79052353,-40.89355087,-45.16601181,-43.51806259,-48.40087509
1.399999976,-47.91259384,-40.7104454,-45.10497665,-43.39599228,-48.21776962
1.5,-47.79052353,-40.83251572,-44.86083603,-43.21288681,-48.15673447
1.600000024,-47.973629,-40.40526962,-45.28808212,-43.45702744,-48.15673447
1.700000048,-47.79052353,-40.46630478,-45.28808212,-43.76220322,-48.21776962
1.799999952,-47.66845322,-40.34423447,-45.28808212,-43.45702744,-48.27880478
1.899999976,-47.48534775,-40.58837509,-45.0439415,-43.45702744,-48.33983994
2,-47.42431259,-40.58837509,-44.86083603,-43.02978134,-48.15673447
2.099999905,-47.66845322,-40.52733994,-44.67773056,-43.27392197,-48.03466415
2.200000048,-47.66845322,-40.58837509,-44.79980087,-43.45702744,-47.973629
2.299999952,-47.60741806,-40.34423447,-45.47118759,-43.33495712,-47.79052353
2.400000095,-47.60741806,-40.28319931,-44.86083603,-43.27392197,-48.03466415
2.5,-47.5463829,-40.40526962,-44.92187119,-43.0908165,-48.40087509
2.599999905,-47.36327744,-40.52733994,-44.6166954,-43.45702744,-48.03466415
2.700000048,-47.42431259,-40.22216415,-45.10497665,-43.33495712,-48.03466415
2.799999952,-47.91259384,-40.10009384,-44.86083603,-43.21288681,-47.85155869
2.900000095,-47.60741806,-40.22216415,-44.6166954,-43.27392197,-48.15673447
3,-47.30224228,-40.161129,-44.86083603,-43.39599228,-48.27880478
3.099999905,-47.30224228,-40.28319931,-44.79980087,-43.45702744,-47.91259384
3.200000048,-47.36327744,-40.161129,-45.0439415,-43.39599228,-47.91259384
3.299999952,-47.48534775,-39.7338829,-44.73876572,-43.21288681,-47.66845322
3.400000095,-47.30224228,-39.97802353,-44.79980087,-43.39599228,-47.91259384
3.5,-47.48534775,-40.03905869,-44.98290634,-42.96874619,-47.85155869
3.599999905,-47.30224228,-40.22216415,-44.67773056,-43.02978134,-47.85155869
3.700000048,-47.42431259,-39.79491806,-44.67773056,-43.0908165,-47.60741806
3.799999952,-47.42431259,-40.10009384,-44.98290634,-43.39599228,-47.85155869
3.900000095,-47.24120712,-40.03905869,-44.92187119,-42.96874619,-47.79052353
4,-47.30224228,-39.85595322,-44.55566025,-43.27392197,-47.5463829
4.099999905,-47.48534775,-39.91698837,-44.86083603,-43.27392197,-47.66845322
4.199999809,-47.48534775,-39.91698837,-44.86083603,-42.90771103,-47.72948837
4.300000191,-47.11913681,-39.91698837,-44.6166954,-43.39599228,-47.66845322
4.400000095,-47.60741806,-39.61181259,-44.92187119,-43.02978134,-47.66845322
4.5,-47.42431259,-39.85595322,-44.79980087,-42.96874619,-47.66845322
4.599999905,-47.11913681,-39.85595322,-44.73876572,-43.0908165,-47.66845322
4.699999809,-47.24120712,-39.24560165,-44.73876572,-42.96874619,-47.42431259
4.800000191,-47.24120712,-39.61181259,-44.49462509,-42.96874619,-47.85155869
4.900000095,-47.18017197,-39.55077744,-44.25048447,-43.15185165,-47.60741806
5,-47.24120712,-39.48974228,-44.6166954,-42.90771103,-47.30224228
5.099999905,-47.48534775,-39.61181259,-44.67773056,-43.02978134,-47.60741806
5.199999809,-47.18017197,-39.42870712,-44.49462509,-42.96874619,-47.5463829
5.300000191,-47.11913681,-39.48974228,-44.49462509,-42.72460556,-47.48534775
5.400000095,-47.18017197,-39.30663681,-44.18944931,-42.78564072,-47.24120712
5.5,-46.81396103,-39.36767197,-44.55566025,-42.6635704,-47.30224228
