Time (ms),-200 pA,-150 pA,-100 pA,-50 pA,0 pA
7.800000191,-46.08154297,-37.84179688,-45.77636719,-46.99707031,-43.02978516
7.900000095,-45.16601563,-38.14697266,-47.60742188,-47.91259766,-42.41943359
8,-45.77636719,-37.53662109,-46.69189453,-46.99707031,-43.64013672
8.100000381,-45.47119141,-35.40039063,-45.47119141,-46.99707031,-44.55566406
8.199999809,-44.25048828,-37.23144531,-46.69189453,-46.38671875,-43.33496094
8.300000191,-45.77636719,-37.53662109,-46.99707031,-47.91259766,-42.41943359
8.399999619,-46.08154297,-36.62109375,-46.38671875,-46.38671875,-43.02978516
8.5,-44.55566406,-36.01074219,-44.86083984,-46.08154297,-43.9453125
8.600000381,-46.38671875,-36.92626953,-46.08154297,-46.38671875,-43.33496094
8.699999809,-44.25048828,-35.09521484,-46.08154297,-47.30224609,-43.33496094
8.800000191,-46.38671875,-35.09521484,-45.16601563,-46.38671875,-44.25048828
8.899999619,-46.08154297,-36.01074219,-46.38671875,-46.38671875,-43.33496094
9,-43.9453125,-34.48486328,-45.77636719,-46.99707031,-42.11425781
9.100000381,-46.69189453,-35.40039063,-45.16601563,-45.47119141,-43.64013672
9.199999809,-44.55566406,-32.34863281,-46.38671875,-45.77636719,-42.41943359
9.300000191,-44.25048828,-22.27783203,-46.38671875,-46.69189453,-43.02978516
9.399999619,-45.16601563,2.746582031,-44.86083984,-45.16601563,-43.02978516
9.5,-43.9453125,18.61572266,-46.69189453,-46.99707031,-43.9453125
9.600000381,-46.08154297,-2.44140625,-45.47119141,-46.69189453,-42.72460938
9.699999809,-44.86083984,-27.46582031,-44.86083984,-45.47119141,-43.64013672
9.800000191,-45.77636719,-42.11425781,-45.77636719,-46.08154297,-43.9453125
9.899999619,-43.02978516,-49.13330078,-45.16601563,-46.08154297,-43.02978516
10,-44.86083984,-51.57470703,-46.38671875,-44.86083984,-43.33496094
10.10000038,-44.25048828,-54.01611328,-44.86083984,-46.69189453,-44.86083984
10.19999981,-44.55566406,-54.01611328,-44.55566406,-45.47119141,-41.50390625
10.30000019,-45.16601563,-54.32128906,-45.77636719,-45.16601563,-44.25048828
10.39999962,-44.86083984,-54.32128906,-44.25048828,-46.38671875,-43.33496094
10.5,-44.86083984,-53.7109375,-46.38671875,-45.16601563,-43.64013672
10.60000038,-44.86083984,-53.40576172,-45.16601563,-46.38671875,-43.9453125
10.69999981,-44.86083984,-52.49023438,-46.08154297,-44.86083984,-41.80908203
10.80000019,-44.25048828,-51.57470703,-44.55566406,-46.38671875,-44.86083984
10.89999962,-44.55566406,-52.79541016,-45.16601563,-45.77636719,-42.72460938
11,-46.08154297,-51.57470703,-45.77636719,-45.16601563,-43.64013672
11.10000038,-44.25048828,-50.65917969,-44.86083984,-45.77636719,-43.64013672
11.19999981,-44.55566406,-50.96435547,-44.86083984,-45.47119141,-43.02978516
11.30000019,-44.86083984,-49.43847656,-43.9453125,-45.47119141,-43.64013672
11.39999962,-44.55566406,-50.96435547,-45.16601563,-45.16601563,-42.41943359
11.5,-45.16601563,-49.74365234,-43.64013672,-46.08154297,-44.86083984
11.60000038,-44.25048828,-49.13330078,-44.55566406,-45.16601563,-41.50390625
11.69999981,-45.16601563,-49.13330078,-43.64013672,-45.47119141,-43.64013672
11.80000019,-45.16601563,-49.74365234,-44.55566406,-45.47119141,-42.11425781
11.89999962,-44.86083984,-48.828125,-44.55566406,-45.16601563,-44.86083984
12,-44.55566406,-49.13330078,-43.02978516,-44.86083984,-41.80908203
12.10000038,-43.64013672,-49.43847656,-44.25048828,-45.47119141,-43.9453125
12.19999981,-43.9453125,-49.43847656,-44.55566406,-43.64013672,-42.72460938
12.30000019,-43.64013672,-49.43847656,-44.86083984,-46.69189453,-43.64013672
12.39999962,-43.9453125,-49.13330078,-44.55566406,-44.25048828,-41.80908203
12.5,-43.64013672,-49.43847656,-43.64013672,-43.9453125,-43.02978516
12.60000038,-44.25048828,-48.21777344,-43.33496094,-44.86083984,-42.11425781
12.69999981,-44.86083984,-48.52294922,-43.64013672,-46.08154297,-41.50390625
12.80000019,-44.55566406,-47.30224609,-43.64013672,-45.47119141,-43.64013672
12.89999962,-43.02978516,-47.60742188,-43.9453125,-45.16601563,-42.41943359
13,-43.9453125,-47.91259766,-44.25048828,-44.86083984,-41.19873047
13.10000038,-43.02978516,-47.91259766,-43.9453125,-44.55566406,-42.41943359
13.19999981,-42.72460938,-48.21777344,-43.9453125,-45.47119141,-42.41943359
13.30000019,-42.11425781,-48.828125,-43.64013672,-44.86083984,-43.33496094
